latitude,longitude,country
-36.166151,143.332529,Australia
-36.154786,143.368492,Australia
-36.14342,143.404455,Australia
-36.132052,143.440418,Australia
-36.120682,143.476381,Australia
-36.109311,143.512344,Australia
-36.097938,143.548307,Australia
-36.086563,143.58427,Australia
-36.073939,143.626413,Australia
-36.061312,143.668556,Australia
-36.048683,143.710699,Australia
-36.036052,143.752842,Australia
-36.023419,143.794985,Australia
-36.010783,143.837128,Australia
-35.998146,143.879271,Australia
-35.985507,143.921413,Australia
-35.972866,143.963556,Australia
-35.960223,144.005699,Australia
-35.947578,144.047842,Australia
-35.934931,144.089985,Australia
-35.922281,144.132128,Australia
-35.90963,144.174271,Australia
-35.896977,144.216413,Australia
-35.884321,144.258556,Australia
-35.871664,144.300699,Australia
-35.859005,144.342842,Australia
-35.846343,144.384985,Australia
-35.83368,144.427128,Australia
-35.821015,144.469271,Australia
-35.808347,144.511414,Australia
-35.795678,144.553556,Australia
-35.783006,144.595699,Australia
-35.770333,144.637842,Australia
-35.757657,144.679985,Australia
-35.74498,144.722128,Australia
-35.7323,144.764271,Australia
-35.719619,144.806414,Australia
-35.706935,144.848557,Australia
-35.694249,144.890699,Australia
-35.681562,144.932842,Australia
-35.668872,144.974985,Australia
-35.65618,145.017128,Australia
-35.643487,145.059271,Australia
-35.630791,145.101414,Australia
-35.618093,145.143557,Australia
-35.605394,145.185699,Australia
-35.592692,145.227842,Australia
-35.579988,145.269985,Australia
-35.567282,145.312128,Australia
-35.554574,145.354271,Australia
-35.541865,145.396414,Australia
-35.529153,145.438557,Australia
-35.516439,145.4807,Australia
-35.503723,145.522842,Australia
-35.491005,145.564985,Australia
-35.478285,145.607128,Australia
-35.465564,145.649271,Australia
-35.45284,145.691414,Australia
-35.440114,145.733557,Australia
-35.427386,145.7757,Australia
-35.414656,145.817842,Australia
-35.401924,145.859985,Australia
-35.38919,145.902128,Australia
-35.376454,145.944271,Australia
-35.363716,145.986414,Australia
-35.350976,146.028557,Australia
-35.338234,146.0707,Australia
-35.32549,146.112843,Australia
-35.312744,146.154985,Australia
-35.299996,146.197128,Australia
-35.287246,146.239271,Australia
-35.274494,146.281414,Australia
-35.26209,146.323643,Australia
-35.258656,146.324158,Australia
-35.254241,146.366386,Australia
-35.249825,146.408615,Australia
-35.245409,146.450844,Australia
-35.240993,146.493073,Australia
-35.236576,146.535301,Australia
-35.232159,146.57753,Australia
-35.227742,146.619759,Australia
-35.223325,146.661987,Australia
-35.218908,146.704216,Australia
-35.21449,146.746445,Australia
-35.210072,146.788673,Australia
-35.205654,146.830902,Australia
-35.201236,146.873131,Australia
-35.196817,146.915359,Australia
-35.192398,146.957588,Australia
-35.187979,146.999817,Australia
