commissioning_date,energy_source_level_1,energy_source_level_2,technology,electrical_capacity,dso,gsrn_id,postcode,municipality_code,municipality,address,address_number,utm_east,utm_north,lat,lon,hub_height,rotor_diameter,manufacturer,model,data_source
6/1/78,Renewable energy,Wind,Onshore,0.4,,5.71E+17,,661,Holstebro,"Madum by, Madum",36a,455393.4,6234801,56.25596,8.28001,54,54,Tvind,Ukendt-Tvind,Energistyrelsen
9/4/78,Renewable energy,Wind,Onshore,0.023,,5.71E+17,,760,Ringkøbing-Skjern,,,475784,6212737,56.0592,8.61113,18,12,Ukendt,Ukendt-Ukendt,Energistyrelsen
1/2/79,Renewable energy,Wind,Onshore,0.019,,5.71E+17,,706,Syddjurs,,,588658.8,6245122,56.34248,10.43431,20,10,Odder,18 SP,Energistyrelsen
8/16/79,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,760,Ringkøbing-Skjern,Dejbjerg Præstegård,3a,462507.9,6204703,55.98617,8.39907,19,16,Vestas Wind Systems A/S,V 55-16 kW,Energistyrelsen
11/9/79,Renewable energy,Wind,Onshore,0.011,,5.71E+17,,791,Viborg,,,534404.4,6269460,56.56818,9.55988,15,15,Kuriant,KE 15/4-Kuriant,Energistyrelsen
11/9/79,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,573,Varde,,,456435.3,6168337,55.65892,8.30757,0.1,0.1,Ukendt,Ukendt-Ukendt,Energistyrelsen
1/3/80,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,615,Horsens,Underup by / Underup sogn,5b,542828.4,6199914,55.94269,9.6857,23,15.3,Vestas Wind Systems A/S,V 15 55/15 ,Energistyrelsen
2/14/80,Renewable energy,Wind,Onshore,0.022,,5.71E+17,,306,Odsherred,,,647535,6204760,55.96548,11.36371,18,10,Kongsted,22-Kongsted,Energistyrelsen
4/1/80,Renewable energy,Wind,Onshore,0.055,,5.71E+17,,791,Viborg,Viborg Markjorder,309as,525301.3,6258180,56.46742,9.41065,23,14,Windmatic,55/11:15.D,Energistyrelsen
6/16/80,Renewable energy,Wind,Onshore,0.03,,5.71E+17,,741,Samsø,"Brundby by, Tranebjerg",14l,600254.8,6185470,55.80442,10.59949,18,10,Sonebjerg,30-Sonebjerg,Energistyrelsen
